ID,Address,SFT,Beds,Baths,Price
0,"3346 Crest Ridge Dr Dallas, TX 75228","1,817 sqft",4bd,3ba,"$399,900"
1,"6937 Greentree Ln Dallas, TX 75214","1,434 sqft (on 0.27 acres)",3bd,2ba,"$649,900"
2,"3423 Gladiolus Ln Dallas, TX 75233","2,461 sqft",4bd,2ba,"$440,000"
3,"4217 Lively Ln Dallas, TX 75220","4,901 sqft (on 0.57 acres)",3bd,5ba,"$2,195,000"
4,"7525 Holly Hill Dr #25 Dallas, TX 75231",790 sqft,1bd,1ba,"$169,000"
5,"4934 Mexicana Rd Dallas, TX 75212",NA,NA,NA,"$135,000"
6,"3336 Pinebrook Dr Dallas, TX 75241","1,165 sqft",3bd,2ba,"$230,000"
7,"2110 Volga Ave Dallas, TX 75216","1,236 sqft",3bd,2ba,"$239,500"
8,"6810 Petty Ln Dallas, TX 75217","2,780 sqft",4bd,3ba,"$369,999"
9,"6911 Oriole Dr Dallas, TX 75209","4,376 sqft",5bd,5ba,"$1,995,000"
10,"7809 Meadow Rd #207 Dallas, TX 75230",731 sqft,1bd,1ba,"$199,900"
11,"9911 Grove Oaks Blvd Dallas, TX 75217","1,394 sqft",4bd,2ba,"$256,885"
12,"7611 Linwood Ave Dallas, TX 75209","1,218 sqft (on 0.25 acres)",3bd,2ba,"$559,900"
13,"9622 Timberleaf Dr Dallas, TX 75243","2,768 sqft",4bd,3ba,"$553,323"
14,"3917 Copeland Ave Dallas, TX 75210","1,008 sqft",3bd,2ba,"$269,000"
15,"2511 Wentworth St Dallas, TX 75211","1,258 sqft",3bd,1ba,"$274,900"
16,"3030 51st St Dallas, TX 75216","1,030 sqft",3bd,2ba,"$242,000"
17,"1011 S Waverly Dr Dallas, TX 75208",NA,NA,NA,"$275,000"
18,"6211 W Northwest Hwy #2907 Dallas, TX 75225","1,115 sqft",2bd,2ba,"$1,040,000"
19,"5300 Keller Springs Rd #1044 Dallas, TX 75248","1,189 sqft",2bd,2ba,"$240,000"
20,"1535 Owega Ave Dallas, TX 75216","1,705 sqft",4bd,2ba,"$345,500"
21,"9616 Ravensway Dr Dallas, TX 75238","2,378 sqft",4bd,3ba,"$595,000"
22,"11914 Garden Terrace Dr Dallas, TX 75243","2,558 sqft",3bd,4ba,"$529,900"
23,"2833 Macon St Dallas, TX 75215",NA,NA,NA,"$39,000"
24,"2781 Prosperity Ave Dallas, TX 75216",NA,NA,NA,"$79,000"
25,"2627 Lagow St Dallas, TX 75210","2,947 sqft (on 0.34 acres)",4bd,4ba,"$459,000"
26,"6211 W Northwest Hwy #G112 Dallas, TX 75225",737 sqft,1bd,1ba,"$220,000"
27,"236 Creek Cove Dr Dallas, TX 75217",NA,NA,NA,"$55,000"
28,"2065 Echo Lake Dr Dallas, TX 75253",NA,NA,NA,"$90,000"
29,"234 Creek Cove Dr Dallas, TX 75217",NA,NA,NA,"$55,000"
30,"232 Creek Cove Dr Dallas, TX 75217",NA,NA,NA,"$55,000"
31,"1718 Homewood Pl Dallas, TX 75224","1,575 sqft (on 0.42 acres)",2bd,2ba,"$499,900"
32,"1201 & 1203 E Woodin Blvd Dallas, TX 75216","1,494 sqft",3bd,2ba,"$265,000"
33,"1431 Autumn Leaves Trl Dallas, TX 75241","1,649 sqft",3bd,2ba,"$243,000"
34,"4659 Christopher Pl Dallas, TX 75204","4,647 sqft",3bd,4ba,"$1,875,000"
35,"2315 Starks Ave Dallas, TX 75215",NA,NA,NA,"$50,000"
36,"University Place Dallas, TX 75252","2,053 sqft",3bd,3ba,"$658,499+"
37,"4114 Jamaica St Dallas, TX 75210",NA,NA,NA,"$150,000"
38,"1126 E 10th St Dallas, TX 75203","1,274 sqft",4bd,2ba,"$460,000"
39,"3620 Princeton Ave Highland Park, TX 75205","8,789 sqft (on 0.28 acres)",4bd,8ba,"$10,485,000"
0,"3321 Oak Grove Ave #114 Dallas, TX 75204",821 sqft,1bd,1ba,"$325,000"
1,"6023 Windbreak Trl Dallas, TX 75252","3,160 sqft",4bd,3ba,"$620,000"
2,"8646 Wingate Dr Dallas, TX 75209","2,032 sqft (on 0.43 acres)",2bd,3ba,"$1,475,000"
3,"3902 S Fitzhugh Ave Dallas, TX 75210",NA,NA,NA,"$100,000"
4,"Bleu Ciel Living Dallas, TX 75201","2,231 sqft",3bd,4ba,"$1,728,000+"
5,"University Place Dallas, TX 75252","3,012 sqft",4bd,4ba,"$812,499+"
6,"2526 Jeffries St Dallas, TX 75215",NA,NA,NA,"$100,000"
7,"5335 Bent Tree Forest Dr #299 Dallas, TX 75248",687 sqft,1bd,1ba,"$165,000"
8,"1427 Glen Ave Dallas, TX 75216","1,179 sqft",3bd,1ba,"$205,000"
9,"1800 S Ervay St Dallas, TX 75215",NA,NA,NA,"$875,000"
10,"5722 Winton St Dallas, TX 75206","1,622 sqft",3bd,2ba,"$645,000"
11,"5522 Druid Ln Dallas, TX 75209","1,376 sqft",2bd,1ba,"$798,500"
12,"Wellington Farms Dallas Dallas, TX 75253","2,079 sqft",4bd,2ba,"$338,490+"
13,"11756 Coral Hills Pl Dallas, TX 75229","1,488 sqft",3bd,2ba,"$436,000"
14,"8814 Daytonia Ave Dallas, TX 75218","3,654 sqft",4bd,5ba,"$1,395,000"
15,"1334 E Stark Rd Dallas, TX 75253",NA,NA,NA,"$1,800,000"
16,"4319 Bowser Ave #207 Dallas, TX 75219","1,060 sqft",1bd,2ba,"$315,000"
17,"6212 Symphony Ln Dallas, TX 75227","2,105 sqft",4bd,3ba,"$335,000"
18,"19 Turtle Creek Bnd Dallas, TX 75204","3,053 sqft",3bd,3ba,"$1,275,000"
19,"4219 Cinnabar Dr Dallas, TX 75227","1,800 sqft",3bd,2ba,"$375,000"
20,"5237 Royal Ln Dallas, TX 75229","4,965 sqft (on 0.97 acres)",4bd,5ba,"$2,100,000"
21,"3915 Atlanta St Dallas, TX 75215",888 sqft,2bd,1ba,"$135,000"
22,"1002 Mobile St #1 Dallas, TX 75208","2,531 sqft",3bd,4ba,"$799,900"
23,"6655 Town Bluff Dr Dallas, TX 75248","1,808 sqft",3bd,2ba,"$500,000"
24,"8720 Hanford Dr Dallas, TX 75243","1,900 sqft",3bd,2ba,"$480,000"
25,"6803 E Grand Ave Dallas, TX 75223","1,093 sqft",2bd,1ba,"$425,000"
26,"3525 Hacienda Dr Dallas, TX 75233","1,900 sqft",5bd,2ba,"$340,000"
27,"5909 Luther Ln #1100 Dallas, TX 75225","1,360 sqft",2bd,2ba,"$469,000"
28,"8533 Blossom Ln Dallas, TX 75227","1,460 sqft",3bd,2ba,"$262,000"
29,"1717 Annex Ave #604 Dallas, TX 75204","2,154 sqft (on 1.83 acres)",2bd,4ba,"$575,000"
30,"2525 N Pearl St #1102B Dallas, TX 75201","4,257 sqft",3bd,4ba,"$4,599,000"
31,"1003 Elsbeth St Dallas, TX 75208",NA,NA,NA,"$311,000"
32,"3318 Princeton Ave Highland Park, TX 75205","5,584 sqft",4bd,6ba,"$3,999,000"
