ID,File,city,stateCode,zipCode,fullLocation,partialLocation,coordinates,price,floorSpace,bedrooms,bathrooms
0,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78748,"Messinger Village, Austin, TX 78748",Messinger Village,"{'latitude': 30.169666, 'longitude': -97.81633, '__typename': 'HOME_Coordinates'}","$604,990+","{'formattedDimension': '2,013 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
1,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78727,"8511 Cumbria Ln, Austin, TX 78727",8511 Cumbria Ln,"{'latitude': 30.167301, 'longitude': -97.69487, '__typename': 'HOME_Coordinates'}","$582,406","{'formattedDimension': '2,274 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
2,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78724,"East Parke, Austin, TX 78724",East Parke,"{'latitude': 30.306007, 'longitude': -97.657845, '__typename': 'HOME_Coordinates'}","$556,990+","{'formattedDimension': '2,235 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '3bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
3,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78744,"7725 Ellas Inlet Dr, Austin, TX 78744",7725 Ellas Inlet Dr,"{'latitude': 30.148088, 'longitude': -97.710724, '__typename': 'HOME_Coordinates'}","$743,984","{'formattedDimension': '2,981 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
4,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78744,"8216 Talferd Trl, Austin, TX 78744",8216 Talferd Trl,"{'latitude': 30.146832, 'longitude': -97.71106, '__typename': 'HOME_Coordinates'}","$511,605","{'formattedDimension': '1,518 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '2bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '2ba', '__typename': 'HOME_FixedBathrooms'}"
5,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78744,"8400 Cottage Rose Dr, Austin, TX 78744",8400 Cottage Rose Dr,"{'latitude': 30.168226, 'longitude': -97.696472, '__typename': 'HOME_Coordinates'}","$552,279","{'formattedDimension': '1,973 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
6,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78744,"8210 Talferd Trl, Austin, TX 78744",8210 Talferd Trl,"{'latitude': 30.147114, 'longitude': -97.711487, '__typename': 'HOME_Coordinates'}","$516,989","{'formattedDimension': '1,623 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '3bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
7,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78741,"6814 E Riverside Dr #105, Austin, TX 78741",6814 E Riverside Dr #105,"{'latitude': 30.223162, 'longitude': -97.698662, '__typename': 'HOME_Coordinates'}","$475,000","{'formattedDimension': '1,642 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '3bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
8,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78754,"Pioneer Crossing East, Austin, TX 78754",Pioneer Crossing East,"{'latitude': 30.35837, 'longitude': -97.649559, '__typename': 'HOME_Coordinates'}","$568,990+","{'formattedDimension': '1,922 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '2ba', '__typename': 'HOME_FixedBathrooms'}"
9,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78753,"10914 Shawn Lee Cv, Austin, TX 78753",10914 Shawn Lee Cv,"{'latitude': 30.369394, 'longitude': -97.672646, '__typename': 'HOME_Coordinates'}","$418,000","{'formattedDimension': '1,228 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '3bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '2ba', '__typename': 'HOME_FixedBathrooms'}"
10,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78737,"Parten: 75ft. lots, Austin, TX 78737",Parten: 75ft. lots,"{'latitude': 30.155323, 'longitude': -97.978096, '__typename': 'HOME_Coordinates'}","$1,010,990+","{'formattedDimension': '3,517 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
11,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78724,"Parker Station, Austin, TX 78724",Parker Station,"{'latitude': 30.30163, 'longitude': -97.621269, '__typename': 'HOME_Coordinates'}","$524,990+","{'formattedDimension': '1,461 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '3bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '2ba', '__typename': 'HOME_FixedBathrooms'}"
12,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78738,"Rough Hollow : Grandview Collection at The Vineyards, Austin, TX 78738",Rough Hollow : Grandview Collection at The Vineyards,"{'latitude': 30.349199, 'longitude': -98.014503, '__typename': 'HOME_Coordinates'}","$638,990+","{'formattedDimension': '2,361 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '4ba', '__typename': 'HOME_FixedBathrooms'}"
13,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78737,"Parten: 75ft. lots, Austin, TX 78737",Parten: 75ft. lots,"{'latitude': 30.155323, 'longitude': -97.978096, '__typename': 'HOME_Coordinates'}","$912,990+","{'formattedDimension': '2,659 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
14,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78737,"Skyridge, Austin, TX 78737",Skyridge,"{'latitude': 30.159163, 'longitude': -97.957176, '__typename': 'HOME_Coordinates'}","$940,990+","{'formattedDimension': '3,429 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '4ba', '__typename': 'HOME_FixedBathrooms'}"
15,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78748,"1604 Cattle Cv, Austin, TX 78748",1604 Cattle Cv,"{'latitude': 30.180225, 'longitude': -97.815376, '__typename': 'HOME_Coordinates'}","$514,900","{'formattedDimension': '1,366 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '3bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '2ba', '__typename': 'HOME_FixedBathrooms'}"
16,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78748,"Copperstone, Austin, TX 78748",Copperstone,"{'latitude': 30.141251, 'longitude': -97.827065, '__typename': 'HOME_Coordinates'}","$554,990+","{'formattedDimension': '2,279 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
17,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78723,"4806 Tannehill Ln, Austin, TX 78723",4806 Tannehill Ln,"{'latitude': 30.287228, 'longitude': -97.669182, '__typename': 'HOME_Coordinates'}","$689,000","{'formattedDimension': '1,553 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': '4bd', '__typename': 'HOME_FixedBedrooms'}","{'formattedValue': '3ba', '__typename': 'HOME_FixedBathrooms'}"
18,<_io.TextIOWrapper name='/Users/bhava/Desktop/DS4A/Austin/austin17.html' mode='r' encoding='UTF-8'>,Austin,TX,78705,"205 E 34th St, Austin, TX 78705",205 E 34th St,"{'latitude': 30.297571, 'longitude': -97.734123, '__typename': 'HOME_Coordinates'}","$949,000","{'formattedDimension': '1,218 sqft', '__typename': 'HOME_SingleDimension'}","{'formattedValue': 'Studio', '__typename': 'HOME_StudioBedroom'}",N/A
