,longitude,latitude,zipcode,num_bedrooms,num_bathrooms,listing_price,neighborhood,street_address
0,-97.73637,30.30002,78705,1.0,1.0,102.0,University of Texas,302 West 35th Street
1,-97.71377,30.27752,78702,2.0,2.0,179.0,East Downtown,1408 Cedar Avenue
2,-97.7132,30.27614,78702,1.0,1.0,114.0,East Downtown,1301 Cedar Avenue
3,-97.73441,30.26057,78702,1.0,1.0,104.0,East Downtown,1004 East Cesar Chavez Street
4,-97.78422,30.45697,78729,1.0,1.0,39.0,SW Williamson Co.,9508 Newberry Drive
6,-97.76487,30.26034,78704,1.0,1.0,149.0,Zilker,705 Garner Avenue
7,-97.73682,30.23466,78741,1.0,1.0,44.0,East Riverside,1704 Windoak Drive
8,-97.73072,30.26098,78702,2.0,2.0,150.0,East Downtown,205 Attayac Street
9,-97.73988,30.24417,78704,2.0,2.0,200.0,Travis Heights,1103 Reagan Terrace
10,-97.76358,30.38794,78759,2.0,2.0,153.0,,8767 North Capital of Texas Highway
11,-97.73225,30.23614,78741,1.0,1.0,58.0,East Riverside,1804 Crooked Lane
12,-97.76207,30.35123,78731,2.0,2.0,350.0,Northwest Hills,6502 Shadow Valley Drive
13,-97.70749,30.37783,78758,1.0,1.0,35.0,,10204 Oak Hollow Drive
14,-97.75145,30.28588,78705,2.0,2.0,117.0,West Campus,1202 West 22nd Street
15,-97.76995,30.25756,78704,1.0,1.0,88.0,Zilker,1206 Folts Avenue
16,-97.77276,30.26146,78704,1.0,1.0,131.0,Zilker,1135 Barton Hills Drive
17,-97.76368,30.25811,78704,1.0,1.0,299.0,Zilker,900 Ethel Street
18,-97.76619,30.2309,78704,1.0,1.0,129.0,Dawson,3507 South 1st Street
19,-97.76611,30.23644,78704,1.0,1.0,225.0,Galindo,801 Terrell Hill Drive
20,-97.74913,30.24648,78704,1.0,1.0,150.0,South Congress,203 East Milton Street
21,-97.75066,30.313,78731,1.0,1.0,89.0,Rosedale,4006 Ridgelea Drive
