,street_address,zipcode,latitude,longitude,num_bedrooms,num_bathrooms,rent_price,sqft,type,URL
2,2606 Wilson St APT 1106,78704,30.23788,-97.759271,2.0,2.5,4950.0,1500.0, Townhouse,https://www.zillow.com/homedetails/2606-Wilson-St-APT-1106-Austin-TX-78704/119628335_zpid/
3,5926 Fairlane Dr,78757,30.339021317073172,-97.75023173170732,3.0,2.0,3995.0,1900.0, SingleFamily,https://www.zillow.com/homedetails/5926-Fairlane-Dr-Austin-TX-78757/29345818_zpid/
5,10821 Redmond Rd,78739,30.188593042480196,-97.8886410948783,4.0,2.5,3500.0,2824.0, SingleFamily,https://www.zillow.com/homedetails/10821-Redmond-Rd-Austin-TX-78739/29504818_zpid/
6,3815 Guadalupe St APT 211,78751,30.303225222222224,-97.73771222222223,2.0,1.0,1750.0,823.0, Apartment,https://www.zillow.com/homedetails/3815-Guadalupe-St-APT-211-Austin-TX-78751/83821844_zpid/
7,2200 San Gabriel St APT 301,78705,30.285609,-97.748187,2.0,2.0,1775.0,1000.0, Condo,https://www.zillow.com/homedetails/2200-San-Gabriel-St-APT-301-Austin-TX-78705/2092509377_zpid/
10,641 W 31st 1/2 St,78705,,,2.0,1.5,2250.0,1008.0, Townhouse,https://www.zillow.com/homedetails/641-W-31st-1-2-St-Austin-TX-78705/2100290745_zpid/
12,1605 Walsh Tarlton Ln,78746,30.268344343758343,-97.80495490919706,3.0,2.0,3600.0,1600.0, SingleFamily,https://www.zillow.com/homedetails/1605-Walsh-Tarlton-Ln-Austin-TX-78746/29326335_zpid/
15,5801 Libyan Dr #A,78745,30.209921499754333,-97.79129506999828,2.0,2.0,1650.0,930.0, Apartment,https://www.zillow.com/homedetails/5801-Libyan-Dr-A-Austin-TX-78745/2095277647_zpid/
17,7712 Islander Dr,78749,30.212550216402626,-97.84816355829935,3.0,2.0,2495.0,1568.0, SingleFamily,https://www.zillow.com/homedetails/7712-Islander-Dr-Austin-TX-78749/29490300_zpid/
18,6601 Galindo St,78741,30.228647,-97.697536,2.0,1.0,1640.0,672.0, SingleFamily,https://www.zillow.com/homedetails/6601-Galindo-St-Austin-TX-78741/29464033_zpid/
19,4328 Airport Blvd #A,78722,30.299775,-97.712212,3.0,2.5,3250.0,1410.0, Townhouse,https://www.zillow.com/homedetails/4328-Airport-Blvd-A-Austin-TX-78722/2098685721_zpid/
22,205 Park Ln,78704,30.24953550583359,-97.7483005472742,3.0,3.0,7500.0,2400.0, SingleFamily,https://www.zillow.com/homedetails/205-Park-Ln-Austin-TX-78704/29458729_zpid/
23,9006 Pin Brush Dr,78748,30.17600918367347,-97.80735193877551,4.0,2.5,3000.0,2305.0, SingleFamily,https://www.zillow.com/homedetails/9006-Pin-Brush-Dr-Austin-TX-78748/305429668_zpid/
24,(Undisclosed Address),78717,30.17600918367347,-97.80735193877551,4.0,3.0,2950.0,2817.0, SingleFamily,https://www.zillow.com/homedetails/Austin-TX-78717/88025266_zpid/
26,1110 Morrow St UNIT B,78757,30.345916833333334,-97.71878694444445,2.0,1.0,3000.0,830.0, Apartment,https://www.zillow.com/homedetails/1110-Morrow-St-UNIT-B-Austin-TX-78757/305427986_zpid/
27,11205 Wyola Bend,78717,30.490996885499477,-97.79594210685458,3.0,3.0,2800.0,1965.0, SingleFamily,https://www.zillow.com/homedetails/11205-Wyola-Bnd-Austin-TX-78717/111970888_zpid/
29,1401 Lorrain St APT D,78703,30.280385,-97.754985,1.0,1.0,1650.0,550.0, Apartment,https://www.zillow.com/homedetails/1401-Lorrain-St-APT-D-Austin-TX-78703/2064081668_zpid/
31,8605 Sturmer St,78747,30.151700959595956,-97.74807033333333,3.0,2.5,2920.0,2528.0, SingleFamily,https://www.zillow.com/homedetails/8605-Sturmer-St-Austin-TX-78747/83814845_zpid/
33,10600 Seguin St,78754,30.3563123,-97.6509254,4.0,2.0,2480.0,1659.0, SingleFamily,https://www.zillow.com/homedetails/10600-Seguin-St-Austin-TX-78754/337144272_zpid/
34,11012 Alhambra Dr,78759,30.401312531221638,-97.7319913042829,4.0,2.0,3100.0,1730.0, SingleFamily,https://www.zillow.com/homedetails/11012-Alhambra-Dr-Austin-TX-78759/29437233_zpid/
