,street_address,zipcode,num_bedrooms,num_bathrooms,home_price,latest_saledate,latest_salemonth,latest_saleyear,URL
0,5522 Hitcher Bnd,78749,3,2,886300,8,4,2021,https://www.zillow.com/homedetails/5522-Hitcher-Bnd-Austin-TX-78749/29496386_zpid/
1,16307 Golden Top Dr,78738,9,5,1467700,23,4,2021,https://www.zillow.com/homedetails/16307-Golden-Top-Dr-Austin-TX-78738/251029693_zpid/
2,3017 Stock Dr,78741,5,5,569700,1,11,2021,https://www.zillow.com/homedetails/3017-Stock-Dr-Austin-TX-78741/124720001_zpid/
3,4807 Alf Ave #A,78721,3,5,841800,11,2,2022,https://www.zillow.com/homedetails/4807-Alf-Ave-A-Austin-TX-78721/145653656_zpid/
4,1121 Mark St #D,78721,2,1,669999,4,8,2021,https://www.zillow.com/homedetails/1121-Mark-St-D-Austin-TX-78721/29388043_zpid/
5,11513 Rim Rock Trl,78737,2,1,1499000,18,2,2020,https://www.zillow.com/homedetails/11513-Rim-Rock-Trl-Austin-TX-78737/144389349_zpid/
6,1205 Dobie Dr #B,78753,2,1,316100,22,10,2021,https://www.zillow.com/homedetails/1205-Dobie-Dr-B-Austin-TX-78753/2070792219_zpid/
7,1240 Barton Hills Dr APT 111,78704,1,1,,10,11,2021,https://www.zillow.com/homedetails/1240-Barton-Hills-Dr-APT-111-Austin-TX-78704/29325605_zpid/
8,1240 Barton Hills Dr APT 209,78704,2,1,,4,6,2021,https://www.zillow.com/homedetails/1240-Barton-Hills-Dr-APT-209-Austin-TX-78704/62604745_zpid/
9,1322 E 12th St #306,78702,1,1,,12,6,2020,https://www.zillow.com/homedetails/1322-E-12th-St-306-Austin-TX-78702/2082804657_zpid/
10,1422 Collier St APT 101,78704,1,1,346200,29,1,2021,https://www.zillow.com/homedetails/1422-Collier-St-APT-101-Austin-TX-78704/83819548_zpid/
11,1501 Barton Springs Rd APT 113,78704,1,1,,22,7,2021,https://www.zillow.com/homedetails/1501-Barton-Springs-Rd-APT-113-Austin-TX-78704/29324972_zpid/
12,1600 S 1st St #313,78704,1,1,675500,31,3,2021,https://www.zillow.com/homedetails/1600-S-1st-St-313-Austin-TX-78704/2072035735_zpid/
13,1602 Sylvan Glade,78745,2,1,738800,12,2,2021,https://www.zillow.com/homedetails/1602-Sylvan-Glade-Austin-TX-78745/58313071_zpid/
14,1615 E 7th St #203,78702,1,1,621900,4,6,2021,https://www.zillow.com/homedetails/1615-E-7th-St-203-Austin-TX-78702/241934484_zpid/
15,16 Crystal Creek Trl,78737,2,1,296500,18,12,2019,https://www.zillow.com/homedetails/16-Crystal-Creek-Trl-Austin-TX-78737/28602517_zpid/
16,1710 Westover Rd,78703,1,1,,27,8,2021,https://www.zillow.com/homedetails/1710-Westover-Rd-Austin-TX-78703/29337201_zpid/
17,1800 Lavaca St #A-105,78701,1,1,,1,9,2020,https://www.zillow.com/homedetails/1800-Lavaca-St-A-105-Austin-TX-78701/29389250_zpid/
18,1800 Lavaca St #A-402,78701,1,1,225000,17,7,2019,https://www.zillow.com/homedetails/1800-Lavaca-St-A-402-Austin-TX-78701/29389287_zpid/
19,1818 S Lakeshore Blvd APT 2,78741,1,1,,30,6,2021,https://www.zillow.com/homedetails/1818-S-Lakeshore-Blvd-APT-2-Austin-TX-78741/64675095_zpid/
20,1840 Burton Dr APT 107,78741,1,1,,4,3,2021,https://www.zillow.com/homedetails/1840-Burton-Dr-APT-107-Austin-TX-78741/29461706_zpid/
21,1840 Burton Dr APT 120,78741,1,1,196300,7,4,2021,https://www.zillow.com/homedetails/1840-Burton-Dr-APT-120-Austin-TX-78741/29461719_zpid/
22,1912 Canterbury St,78702,2,1,1002200,21,10,2020,https://www.zillow.com/homedetails/1912-Canterbury-St-Austin-TX-78702/29382930_zpid/
23,2014 Willow St,78702,2,1,924500,19,10,2020,https://www.zillow.com/homedetails/2014-Willow-St-Austin-TX-78702/29383004_zpid/
24,202 Nueces St #2204,78701,1,1,1153700,31,3,2020,https://www.zillow.com/homedetails/202-Nueces-St-2204-Austin-TX-78701/306645188_zpid/
25,208 Deen Ave,78753,3,1,420000,30,12,2021,https://www.zillow.com/homedetails/208-Deen-Ave-Austin-TX-78753/29421561_zpid/
26,222 West Ave UNIT 1609,78701,1,1,459900,31,7,2019,https://www.zillow.com/homedetails/222-West-Ave-UNIT-1609-Austin-TX-78701/124839798_zpid/
27,222 West Ave UNIT 1708,78701,1,1,499900,9,10,2020,https://www.zillow.com/homedetails/222-West-Ave-UNIT-1708-Austin-TX-78701/124844458_zpid/
28,222 West Ave UNIT 2003,78701,1,1,565000,31,12,2019,https://www.zillow.com/homedetails/222-West-Ave-UNIT-2003-Austin-TX-78701/124840928_zpid/
29,222 West Ave UNIT 2008,78701,1,1,485000,14,10,2020,https://www.zillow.com/homedetails/222-West-Ave-UNIT-2008-Austin-TX-78701/124843663_zpid/
30,2302 E 11th St,78702,2,1,499000,8,9,2020,https://www.zillow.com/homedetails/2302-E-11th-St-Austin-TX-78702/29386190_zpid/
31,2302 E Side Dr APT 16,78704,1,1,,26,8,2021,https://www.zillow.com/homedetails/2302-E-Side-Dr-APT-16-Austin-TX-78704/70355938_zpid/
32,2313 Longview St APT 205,78705,2,1,287200,23,6,2020,https://www.zillow.com/homedetails/2313-Longview-St-APT-205-Austin-TX-78705/29331790_zpid/
